"","deviation","fill","speed","height"
"1",8.93094605938763,100,20,0.1
"2",13.0985154875413,100,40,0.1
"3",8.23496157218082,100,60,0.1
"4",3.66331931517092,20,40,0.1
"5",6.751130881025,20,60,0.1
"6",8.27709024204596,40,20,0.1
"7",5.09421343781866,40,40,0.1
"8",4.07746771424204,40,60,0.1
"9",6.07929470905919,60,20,0.1
"10",5.22609738654359,60,40,0.1
"11",5.40993051808835,60,60,0.1
"12",9.32110296501666,100,20,0.2
"13",7.98697735460478,100,40,0.2
"14",5.33478537874051,100,60,0.2
"15",5.09966317258227,20,20,0.2
"16",6.00414770439576,20,60,0.2
"17",8.18781758555027,40,20,0.2
"18",6.65360283217488,40,40,0.2
"19",6.93894715194176,40,60,0.2
"20",7.22538318524502,60,60,0.2
